{'lat': Decimal('54.3563396'), 'lng': Decimal('18.6491503')}|Galeria Handlowa Madison|ChIJpQYdoXZz_UYRP_a7XD_G_n8|['shopping_mall', 'cafe', 'supermarket', 'grocery_or_supermarket', 'gym', 'store', 'health', 'restaurant', 'point_of_interest', 'food', 'establishment']|Rajska 10, Gdańsk|4.1|Rajska 10, 80-850 Gdańsk, Poland|58 766 75 75|+48 58 766 75 75|http://www.madison.gda.pl/|https://maps.google.com/?cid=9223027062342415935
{'lat': Decimal('54.3828024'), 'lng': Decimal('18.6004565')}|Galeria Bałtycka|ChIJAf3jeep0_UYR1I4b2urE1zw|['shopping_mall', 'point_of_interest', 'establishment']|aleja Grunwaldzka 141, Gdańsk|4.4|aleja Grunwaldzka 141, 80-264 Gdańsk, Poland|58 521 85 50|+48 58 521 85 50|http://www.galeriabaltycka.pl/|https://maps.google.com/?cid=4384189275229097684
{'lat': Decimal('54.47433909999999'), 'lng': Decimal('18.5521677')}|Klif Gdynia|ChIJJ4NT2Jug_UYR-MxvusrqTes|['shopping_mall', 'point_of_interest', 'establishment']|aleja Zwycięstwa 256, Gdynia|4.2|aleja Zwycięstwa 256, 81-525 Gdynia, Poland|58 664 93 45|+48 58 664 93 45|http://gdynia.klif.pl/|https://maps.google.com/?cid=16955466328551967992
{'lat': Decimal('54.40984'), 'lng': Decimal('18.591855')}|Galeria Przymorze|ChIJz_R-VyoL_UYRmkPaABGYqZ0|['shopping_mall', 'point_of_interest', 'establishment']|Obrońców Wybrzeża 1, Gdańsk|4.1|Obrońców Wybrzeża 1, 80-398 Gdańsk, Poland|58 785 98 50|+48 58 785 98 50|http://www.galeriaprzymorze.eu/|https://maps.google.com/?cid=11360778733814956954
{'lat': Decimal('54.35257'), 'lng': Decimal('18.59287')}|Galeria Morena|ChIJy6Tf4WN0_UYR5y2j0n09gjc|['shopping_mall', 'point_of_interest', 'establishment']|Schuberta 102A, Gdańsk|4.4|Schuberta 102A, 80-172 Gdańsk, Poland|58 766 98 02|+48 58 766 98 02|http://galeriamorena.pl/|https://maps.google.com/?cid=3999827029672537575
{'lat': Decimal('54.3897705'), 'lng': Decimal('18.6102171')}|Galeria Zaspa|ChIJT3PEhsd0_UYRFXfu8MXggdI|['shopping_mall', 'point_of_interest', 'establishment']|aleja Rzeczypospolitej 33, Gdańsk|4|aleja Rzeczypospolitej 33, 80-463 Gdańsk, Poland|58 511 11 00|+48 58 511 11 00|http://galeriazaspa.pl/|https://maps.google.com/?cid=15168652160715880213
{'lat': Decimal('54.3370046'), 'lng': Decimal('18.6202925')}|Chelm. Shopping center|ChIJGT2sg5Fz_UYRDfBsryVfUl8|['shopping_mall', 'point_of_interest', 'establishment']|Cienista 30, Gdańsk|3.8|Cienista 30, 80-046 Gdańsk, Poland|||http://pasaztesco.pl/|https://maps.google.com/?cid=6868656997155008525
{'lat': Decimal('54.2656299'), 'lng': Decimal('18.6309346')}|Galeria Victory|ChIJy4_OuKpx_UYRz6Ial6MVEWo|['shopping_mall', 'point_of_interest', 'establishment']|Antoniego Dobrowolskiego 8, Pruszcz Gdański|4.3|Antoniego Dobrowolskiego 8, 83-004 Pruszcz Gdański, Poland|||http://centrumvictory.pl/|https://maps.google.com/?cid=7642913834983400143
{'lat': Decimal('54.3834248'), 'lng': Decimal('18.6005492')}|Baltic Gallery Parking|ChIJT7Q8z8F0_UYRZiV3svOqyNM|['shopping_mall', 'point_of_interest', 'establishment']|Dmowskiego, Gdańsk|3.5|Dmowskiego, 80-265 Gdańsk, Poland|||http://www.galeriabaltycka.pl/|https://maps.google.com/?cid=15260635300992853350
{'lat': Decimal('54.382942'), 'lng': Decimal('18.605459')}|Galeria Metropolia|ChIJO1ZIf8B0_UYRC0mkrXjSvUE|['shopping_mall', 'point_of_interest', 'establishment']|Jana Kilińskiego 4, Gdańsk|3.6|Jana Kilińskiego 4, 80-452 Gdańsk, Poland|58 765 07 10|+48 58 765 07 10|http://www.galeriametropolia.pl/|https://maps.google.com/?cid=4737173798814763275
{'lat': Decimal('54.4412147'), 'lng': Decimal('18.5625235')}|Sopot Centrum|ChIJh8leHpEK_UYRaSbtAmBATjU|['shopping_mall', 'neighborhood', 'political', 'point_of_interest', 'establishment']|Tadeusza Kościuszki 14, Sopot|4.3|Sopot Centrum, Tadeusza Kościuszki 14, 81-704 Sopot, Poland|58 341 28 11|+48 58 341 28 11|http://sopotcentrum.com/|https://maps.google.com/?cid=3841078313303746153
{'lat': Decimal('54.3948686'), 'lng': Decimal('18.581813')}|Olive Shopping Center|ChIJ-1zKSZR0_UYRVY-9ibvaGQA|['shopping_mall', 'point_of_interest', 'establishment']|aleja Grunwaldzka 309, Gdańsk|3.6|aleja Grunwaldzka 309, 80-314 Gdańsk, Poland|58 554 10 23|+48 58 554 10 23|http://www.centrumhandloweoliwa.pl/|https://maps.google.com/?cid=7277373422407509
